JAPANESE,ENGLISH
英語,ENGLISH
v{version},v{version}
データなし,No Data.
申し訳ありませんが、それを行うにはサインインする必要があります。,"Sorry, you need to be signed-in to do that."
セッションが無効になりました。再度ログインしてください。,Your session has expired. Please log in again.
API Error,API Error
円,円
USD,USD
イベント一覧に戻る,Return to the Event Listing
残り時間: {countdown},Time remaining: {countdown}
イベントID: {ticker},ID: {ticker}
最大リターン: {max},Maximum Return: {max}
最大レバレッジ: {leverage}倍,Maximum Leverage: {leverage}x
詳しく見る,Detailed View
おすすめイベント,Recommended Events
ホーム,Home
マイページ,Portfolio
探す,Search
通知,Notifications
ログイン,Login
あなたの予想は？,What do you predict?
確率,Probability
予測収益,Indicative Return
最終収益率,Final Return
チャート,Chart
クォート,Quote Recap
クォートなし,No quotes available.
指標的なリターン,Indicative Return
取引数,Trade Volume
確率,Probability
指標的なリターン,Indicative Return
ベッティング,Betting
掛金、レバレッジの設定,"Wager, Leverage setting"
{name}さんの利用可能残高: {balance},{name}’s available balance: {balance}
掛金,Wager
掛金の上限: {max},Maximum permittable wager: {max}
レバレッジ,Leverage
指示停止確率,Indicative Stop Level
示唆的な支払,Potential Payout
新しい確率,New Probability
現在の引用の市場影響度（{marketImpact}）が警告レベル（{warningLevel}）を超えています。,The market impact ({marketImpact}) of the wager exceeds the warning threshold ({warningLevel}).
ベットする,Proceed with the bet
注文の確認,Order Confirmation
元の掛金,Wager amount
利用レバレッジ,Leverage used
賞金,Indicative Payout
掛けの開始日時,Time of wager placement
指示停止確率,Indicative Stop Level
マーケットインパク,Market Impact
ご注文確定後は、購入商品の金額がお客様のアカウントから引き落とされます。注文内容をよくご確認いただき、誤りがないことをご確認ください。なお、注文後のキャンセルや返品はできませんので、ご注意ください。ご了承いただける場合は、最終チェックアウトをお願いいたします。,"Once your order is confirmed, the amount of the purchased item will be debited from your account. Please check your order carefully and make sure there are no errors. Please note that orders cannot be canceled or returned after the order has been placed. If you agree, please proceed."
注文が実行されると、\n資金がアカウントから引き落とされます。,"Once the order is executed, \nfunds will be debited from your account."
注文を確定する,Proceed with wager
注文をキャンセルする,Cancel this wager
注文が完了できませんでした。,Could not place wager.
注文が完了しました。,Wager successfully placed.
注文成功！,Success!
同じイベントを更に見る,Return to this event
注文失敗！,Problem with your wager!
エラー \n口座残高を確認する,"Error\nInsufficient funds, check your account."
マイページ,My Page
入金する,Deposit page
イベントに戻る,Return to the event
注文失敗！,Problem with your wager!
エラー \nログインする必要,Error\nyou must be logged in to do that.
イベント・サーチ,Event Search
特別の特徴,Special Features
カテゴリー,Category
順カテゴリー,Sub-category
クリア,Clear
検索,Search
結果がない,No results
結果,Results
最新順,Most recent
24時間の取引量,24hr trading volume
残り時間,Remaining Time
作成からの経過時間,Elapsed Time Since Creation
参加トレーダー数,Number of Traders
最大リターン（収益）,Maximum Return
最小リターン（収益）,Minimum Return
最大レバレッジ（倍率）,Maximum Leverage
最近取引された,Recently Traded
有効期限までの時間,Time until Expiration
最大利益,Largest Profit
最大ベット,Biggest Wager
最大リターン,Highest Return
Preferences Page,
ユーザー設定,User settings
通知,Notifications
イベントは間もなく終了します！,Event is ending soon!
警告を停止してください！,Stop warning!
停止がトリガーされました！,Stop triggered!
あなたは勝者です！,You\'ve won!
イベントは終了しました。,Event has ended.
イベントは解決しました。,Event has resolved.
新しいイベントがここにあります！,A new event is available here.
EveryX アプリのアップデート!,There is an update available.
あなたの預金は保留中です。,Your deposit is on hold.
お引き出しは保留中です。,Your withdrawal is pending.
入金成功！,Deposit successful!
引き出し成功！,Withdrawal successful!
入金に問題がありました。,There was a problem with your deposit.
引き出しに問題がありました。,There was a problem with your withdrawal.
実績のロックが解除されました！,Achievement unlocked!
レベルアップしました！,You have levelled up!
あなたは上位 n ％にいます！,You are in the top n%!
新しいフォロワーがいます！,You have new followers.
あなたはコメントでタグ付けされました！,You were tagged in a comment.
誰かがあなたのコメントに返信しました！,Someone has replied to your comment.
新しいメッセージがあります！,There is a new notification!
賭け金,Wager
デフォルトの賭け金サイズ,Default wager size
デフォルトのレバレッジ,Default leverage
市場への影響警告レベル,Market Impact Warning Level
お気に入り,Favorites
その他,Other
日本語,Japanese
ログインの立ち直り,Login Recovery
新しいパスワード,New Password
パスワードの確認,Confirm your password
新しいパスワードの確認,Confirm your new password
パスワードが一致しません,Passwords don\'t match
パスワードをセットする,Set Password
必要なフィールドを入力してください,Please fill in all the required fields.
パスワードが要件を満たしていません,The password entered does not meet the requirements.
パスワードのリセットに失敗しました。トークンが有効であることを確認してください。,Password reset has failed.
有効なメールアドレスを入力してください,Please enter a valid email address
＊：必要,Required.
パスワードの設定は完了です,Password Reset
ログインを最初からやり直す,Back to the login screen
メールアドレス,Email address
パスワード,Password
ログイン,Login
パスワードの忘れた場合,Forgot your password?
会員登録はまだされていませんか?,Not yet registered?
無料会員登録はこちら,Register now
キャンペーン中！,Campaign in progress
メールアドレス・パスワードが一致しません。,Email address or password do not match
確認の上、再入力をお願いします。,Please check and re-enter
下のボタンを押すと、「パスワード・リセット」のリンクがメールアドレスに通信されます。,A link to reset your password will be sent to your registered email address.
パスワードのリセットを行う,Reset yor password
パスワード・リセット」のリンクがメールアドレスに通信しましたので、インボックスの確認をお願いします。,A link to reset your password has been sent to your email address.
ログインを最初からやり直す,Back to the login screen.
アカウントの作成,Create an account
（10～32文字）,(10-32 characters)
少なくとも 1 つの大文字、1 つの小文字、\nおよび 1 つの数字を含める必要があります。,"At least one uppercase letter, one lowercase letter, and must contain one number."
紹介コード（もしあれば）,Referral code
アカウントを作成する,Create account
すすむ,Proceed
利用規約の賛成,Accept the Terms of Use
プライバシーポリシーの賛成,Accept the Privacy Policy
同意します。,Agree.
アカウントの作成が成功です。<br><br>EveryXへようこそ！,Account created successfully. <br><br>Welcome to EveryX!
アカウントの作成,Create an account
ホーム,Home
ログアウト,Log out
ログアウトしてもよろしいですか？,Are you sure you want to log out?
ログアウトする,Log out
戻る,Return / go back
正常にログアウトしました。,Successfully logged out
ホーム,Home
アカウント修理,Account
公開情報,Publicly Visible
ライブラリから選ぶ,Upload a profile picture
写真を撮る,Take a picture
ニックネーム,Nickname
公開情報を変更する,Update Account Information
プロフィールが更新されました,Profile Updated
連絡先,Contact Address
メールアドレス,Email address
未確認,Unconfirmed
メールアドレスが確認されていないため、サイトの機能が制限されています。,Your email address is not verified. Site functionality may be limited.
メールアドレスの確認を行う,Confirm your email address
確認メールが送信されました。,A confirmation email has been sent.
ログイン認証,Login authentication
パスワードの変更を行う,Change your password
パスワードの設定は完了です。,Password Reset Complete
本人確認,Confirm your identity
未確認,Unconfirmed
本人確認手続きが済ましていないため、サイトの機能が制限されています。,Identity verification incomplete - site functionality may be limited.
本人確認手続きを行う,Get KYC Verified!
再認証を行う,Re-verify KYC.
紹介コード,Referral Code
有効期限: {date},Expiration date: {date}
残りの利用数: {count}回,Remaining number of uses: {count} times
コピーが成功しました。,Copied successfully!
コピーに失敗しました。,Copy failed.
クリップボードにコピーする,Copy to clipboard
連絡先,Contact address
確認済,Confirmed
本人確認,Identification
確認済,Confirmed
入金と出金ができます,You can now deposit and withdraw funds.
本人確認,Identification
確認中,Confirming…
確認が終わったら、メールで通知します。<br>少々お待ちください。,"Once confirmation is complete, we will notify you by email."
紹介コード,Referral code
只今紹介コードはございません,There are no referral codes available currently.
本人確認,Identification
確認済,Confirmed
入金と出金ができます。,You can now deposit and withdraw funds.
